 ,Area,Mean,Min,Max,Length
470,75.148,113.943,77.017,122.006,97.490
471,23.669,94.593,77.764,106.502,30.039
472,121.302,114.043,86.777,121.633,157.232
473,24.852,81.463,65.175,109.793,31.623
474,8.876,95.002,70.000,102.352,11.014
475,20.118,83.605,66.329,96.341,26.109
476,115.385,103.768,70.333,129.236,149.607
477,20.710,75.062,62.744,86.618,26.312
478,98.225,105.196,91.780,121.667,127.230
479,22.485,81.150,63.456,109.435,28.627
480,98.817,105.872,64.000,113.930,128.065
481,22.485,83.880,52.613,96.629,28.997
482,74.556,104.811,88.000,109.925,96.494
483,25.444,90.637,77.447,103.000,32.708
484,26.036,104.794,94.183,111.195,33.142
485,24.260,85.367,74.274,101.128,31.009
486,78.107,109.169,95.409,121.836,101.687
487,20.118,86.519,67.667,98.359,25.617
488,128.994,108.954,67.333,120.548,167.725
489,21.893,94.960,83.000,110.413,28.242
490,106.509,112.662,87.000,126.861,138.212
491,21.893,87.484,80.407,97.964,27.799
492,47.337,107.948,82.333,117.110,60.983
493,23.669,93.315,79.482,103.494,30.304
494,136.095,116.592,95.401,124.737,176.264
495,21.893,81.993,60.998,99.461,27.735
496,84.024,115.105,78.632,126.890,109.557
497,26.036,94.472,78.320,110.829,33.282
498,30.178,112.610,93.412,135.782,38.562
499,20.710,107.691,73.369,133.330,26.165
500,124.852,122.438,74.715,134.483,161.925
501,24.260,87.236,74.667,107.000,30.769
502,69.231,116.620,86.919,124.711,89.607
503,26.627,97.839,59.469,117.177,33.855
504,25.444,99.079,63.211,117.605,33.041
505,28.402,88.220,65.667,110.817,36.499
506,22.485,101.210,87.705,118.461,28.462
507,156.213,119.809,98.862,126.926,203.045
508,23.077,99.348,85.895,108.378,29.392
509,102.959,115.433,73.088,139.589,133.855
510,23.669,79.082,45.234,100.741,30.167
511,21.302,104.265,84.192,120.023,27.617
512,21.302,95.922,84.106,108.773,27.542
513,135.503,117.497,95.095,127.486,176.061
514,15.976,87.325,78.000,101.967,20.235
515,44.970,101.248,94.695,109.342,57.963
516,15.385,103.196,73.041,114.492,19.612
517,189.941,98.732,59.031,112.871,246.679
518,17.751,94.053,69.028,106.005,22.871
519,189.941,102.870,91.333,113.506,246.833
520,16.568,108.209,80.667,123.820,20.996
521,326.036,108.769,71.667,123.435,423.312
522,15.385,110.183,86.618,128.503,19.702
523,163.905,104.865,68.916,126.284,213.103
524,16.568,94.505,79.672,103.242,21.428
525,144.970,95.997,58.581,114.797,188.353
526,15.385,90.112,76.798,97.196,19.475
527,184.615,102.673,81.469,117.335,239.764
528,17.160,93.448,70.333,109.000,21.538
529,224.852,104.510,55.512,127.033,291.931
530,17.160,76.751,63.731,96.667,22.001
531,162.130,103.089,75.000,125.899,210.649
532,18.343,92.763,80.333,107.000,23.077
533,135.503,105.809,64.747,128.734,175.853
534,16.568,117.344,81.004,145.595,20.783
535,351.479,130.342,71.449,145.504,456.664
536,18.343,109.984,77.211,147.815,23.141
537,110.059,115.572,73.409,144.043,143.240
538,15.976,122.696,99.524,141.468,20.641
539,150.296,121.586,109.243,138.168,194.737
540,18.343,115.685,72.947,133.707,23.077
541,223.669,125.576,77.929,134.600,290.127
542,16.568,122.230,87.686,148.354,20.826
543,140.828,123.334,99.259,145.779,182.866
544,16.568,130.184,98.089,152.289,21.220
545,146.154,128.636,85.000,143.726,189.270
546,17.160,113.551,90.850,130.188,22.041
547,171.598,120.256,87.608,136.319,222.561
548,16.568,105.946,92.653,120.626,21.122
549,127.811,131.342,21.657,254.755,166.253
550,18.935,119.417,91.265,139.211,24.434
551,144.379,121.757,18.674,254.526,187.285
552,16.568,113.590,99.333,129.911,20.996
553,65.680,123.767,23.901,254.333,85.393
554,17.751,80.649,71.961,100.333,22.400
555,122.485,107.732,89.573,127.471,158.816
556,14.793,96.107,75.333,109.000,18.462
557,352.663,106.169,70.905,127.640,458.393
558,16.568,108.411,81.667,128.962,20.897
559,188.757,102.794,75.139,114.089,245.366
560,15.385,110.737,81.635,129.068,19.460
561,286.391,112.540,88.153,122.683,372.190
562,15.976,106.032,76.667,135.090,20.235
563,295.266,107.229,73.306,123.119,383.273
564,18.935,90.260,76.487,104.558,24.483
565,31.361,106.721,75.000,122.994,40.361
566,15.976,82.820,54.014,103.374,20.308
567,396.450,104.038,43.034,127.201,515.016
568,16.568,105.513,75.159,128.399,20.996
569,471.006,115.886,66.767,255.000,612.008
570,20.710,88.670,71.414,107.769,26.791
571,188.757,110.602,71.000,122.467,245.224
572,17.751,105.930,79.589,123.944,22.948
573,307.692,109.356,5.418,254.772,399.997
574,15.385,92.103,77.406,111.709,19.970
575,112.426,111.307,102.780,119.676,146.043
576,17.160,96.782,73.333,108.667,21.538
577,88.757,118.904,94.667,138.798,115.328
578,18.935,94.308,86.667,102.491,24.154
579,73.373,111.232,76.583,124.240,95.446
580,19.527,96.110,80.213,111.494,24.627
581,89.349,116.181,101.438,133.537,115.678
582,17.751,100.005,90.973,114.840,22.637
583,59.172,112.423,77.351,125.198,76.264
584,20.118,92.844,79.732,116.000,26.109
585,81.657,117.949,108.104,126.663,106.045
586,17.751,100.355,84.161,114.035,22.871
587,152.663,114.100,96.333,128.729,198.212
588,18.343,100.993,90.667,114.667,23.077
589,66.272,113.385,103.953,124.273,85.497
590,15.385,95.272,82.050,114.767,19.292
591,168.047,115.584,105.839,129.430,217.784
592,18.343,94.562,75.769,109.468,23.433
593,86.391,112.235,94.333,121.082,112.447
594,13.018,127.013,90.088,139.975,16.871
595,517.160,125.658,67.216,136.700,671.834
596,13.018,126.779,99.000,141.734,16.871
597,324.852,124.517,66.282,141.000,422.363
598,17.751,104.813,86.011,125.379,22.624
599,192.308,116.547,72.384,130.523,249.254
600,17.751,100.896,91.384,118.101,22.624
601,93.491,112.436,83.394,120.057,121.364
602,14.793,119.109,84.667,140.919,19.030
603,378.107,117.577,58.019,134.515,491.268
604,15.385,111.049,91.772,128.519,19.415
605,198.225,120.681,77.848,131.369,257.439
606,17.160,92.834,69.740,111.767,22.201
